type,chapter,location,japanese,english,row
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Young Man] 千年祭には行ってきたかい？ はい いいえ[END],[Young Man] Have you been to the Millennial Festival? Yes No,192
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",えっ？　早く行ってこいよ！！ この国ができて、今年で1000年って お祭りなんだぜ。,What? Hurry up and go!! The festival's since this year is the 1000th year since this kingdom was formed.,196
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",ここから北にあるリーネ広場じゃ、今ごろ いろんな店が出ていて、そりゃあもう お祭りさわぎってやつだな。[END],"In Leene Square, north from here, there are all sorts of shops set up, and it's festival merrymaking by now.",200
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",すげえよな、いろんなものが売ってるし いろんなイベントもある…… まさにフェスティバル！！[END],"It's amazing, selling all sort of things, having all sorts of events...... Now that is a festival!!",204
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Young Woman] 1ぱい、おごってもらえないかしら？ はい いいえ[END],[Young Woman] Could I get you to treat me to a drink? Yes No,209
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Young Woman] ありがとう、お礼に1きょく プレゼントするわ。[END],"[Young Woman] Thanks, I'll play you a song to show my gratitude.",213
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Young Man] 先日、地震があったのをおぼえているかい？ はい いいえ[END],[Young Man] Remember there was an earthquake the other day? Yes No,218
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",そうか。ノンキなぼうやだな。 まあ、いいや。[END],"I see. Such a carefree kid. Well, never mind.",222
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",本当に最近は地震が多いよな。 なにかよくないことが起こる 前ぶれでなきゃいいんだけどね。[END],There's really been a lot of earthquakes lately. I hope it's not an omen that something bad's going to happen.,227
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[Woman] 代々、伝わっているハコです。 開けられた方ごじゆうにどうぞ。[END],"[Woman] The box has been passed down for generations. If you can open it, feel free to help yourself.",231
text,Setting Out! The Dreamy Millennial Festival,"Truce Inn, 1000 A.D.",[System] 不思議な力で封印されている……。[END],[System] It's sealed with a mysterious power......,236
location,Setting Out! The Dreamy Millennial Festival,,,,238
text,Setting Out! The Dreamy Millennial Festival,"Truce Market, 1000 A.D.",[Poyozo Doll] リーネ広場にて出店中！[END],[Poyozo Doll] Currently at a stall in Leene Square!,242
location,Setting Out! The Dreamy Millennial Festival,,,,244
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Woman] こんにちは。 この家の事聞きたい？ はい いいえ[END],[Woman] Good day. Would you like to hear about this house? Yes No,251
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",この家の町長は、ぼうけん者が好きでね。 初心者にぼうけんのノウハウを 教えてくれるのよ。,The mayor in this house likes adventurers. He teaches beginners adventuring know-how.,256
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それから、この家にある宝ばこは 町長がぼうけん者のためにって 置いてあるの。 えんりょしないで持って行ってね。[END],"Also, the treasure boxes that are in this house, the mayor left for the sake of adventurers. Take them with you without restraint.",261
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Young Woman] 武器や防具について 聞かせてあげましょうか？ はい いいえ[END],[Young Woman] Shall I let you hear about weapons and armoring? Yes No,267
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",武器といっても、色々なものがあるのよ。 刀とか、ゆみとか、けんじゅうとかね。 けど人にはとくい、ふとくいがあって その人に合った武器しか、使えないの。,"We call them all weapons, but there are a variety of them. Like katanas, bows, and pistols. But everyone has their strengths and weaknesses, and can't use any weapons but those suited to them.",273
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",防具には3つのしゅるいがあるわ。 頭につけるものと、体につけるものと それからアクセサリー。,"There are three types to armoring. The ones you put on your head, the ones you put on your body, and accessories.",277
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",防具も自分の体に合ったものしか 装備できないのよ。,You can't equip armoring either except for the ones suited to your body.,280
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それからアクセサリーには、特別な力が あるものが多いから色々と調べてみると いいわ。,"Next, in accessories, many of them have special special powers, so you should try checking out a variety of them.",284
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それと、刀は力が上がれば攻撃力も 上がるけど、ゆみやけんじゅうは チョットちがうの。,"Also, for katanas, if your power increases, your attack power also increases, but for bows and pistols, it's a LITTLE different.",288
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",必要なのは命中りつ、これが上がれば 強いダメージをあたえられるわ。[END],"What you need is hit rate; the more it increases, the more powerful damage you'll be able to inflict.",291
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Young Man] この世の中には時の記憶がとどまる所が あるという。 そこでは危険にみちた場所でも 旅の記録をとる事が出来る。[END],"[Young Man] It's said there are places in this world where time's memory abides. There, even in places full of danger, you can take a record of your journey.",297
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それはレプリカさ。　もし本物を見かけたら 旅の記録を取ることをすすめるぜ。 なんせ危険な所ほど出現しやすいと いう話だからな。,"That's a replica. If you happen to see the real thing, I recommend taking a record of your journey. Anyhow, they say they appear more easily the more dangerous the place is.",303
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",おっと、それともう1つ！ ワールドマップでは、どこでも旅の記録を とれる、わすれないでくれ。[END],"Oh, one more thing! On the world map, you can take a record of your journey anywhere, don't forget.",307
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Little Boy] メッセージが出てる間も、兄ちゃん達は 動き回れるんだぜ。 遠くはなれれば、声も聞こえなくなるよ。[END],"[Little Boy] You guys can move around even when there's a message up. If you get too far away, you won't be able to hear the voice.",313
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Little Girl] メッセージやバトル中のウインドウは Yボタンで上下に、いどうするのよ。[END],[Little Girl] Move messages and the in-battle window up and down with the Y button.,317
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Old Woman] お前さん『シェルター』のことは 知っているのかい？ はい いいえ[END],"[Old Woman] Do you know about ""Shelters""? Yes No",323
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",『シェルター』はセーブポイントと ワールドマップで使用できるアイテムで HPもMPも全回復するんじゃよ。 べんりじゃの～。[END],"""Shelters"" are items you can use at save points and on the world map, and they fully recover both HP and MP. Convenient...",328
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Soldier] よっしゃあ、俺様が技のこうかはんいを 教えてやる。　聞くか？ はい いいえ[END],[Soldier] Okay! I'll teach you about technique effect ranges. Listen? Yes No,334
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",戦闘時の技には、様々な こうかはんいがある。[END],"For techniques used during battle, there are various effect ranges.",337
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",まずは、モンスターを中心に 広がるダメージだ。[END],"First, damage that spreads out centered on a monster.",340
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",たとえば、こいつを ターゲットしていしたときは……[END],"For example, when this one's designated target.....",343
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",このハンイにいるモンスター つまりこの場合は2ヒキに ダメージをあたえる事ができる。[END],"You can inflict damage to the monsters in this range, that is, two monsters in this case.",347
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",だがな、こいつを ターゲットしていすると……[END],"But, designate this one target and......",350
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",このとおり、3ビキのモンスターに ダメージをあたえられる。 うまく使いな。[END],"As you can see, you can inflict damage on three monsters. Use it well.",354
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",次に、自分から直線的に ダメージをあたえる場合。[END],"Next, the case where you inflict damage on a line from yourself.",357
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",これには2しゅるいのパターンがある。 1つめのパターンは……[END],There are two types of patterns to this. The first pattern is......,360
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",自分からまっすぐのびた直線上の モンスターこの場合は3ビキ全てに ダメージをあたえる。[END],"You inflict damage on all monsters along a straight line from yourself, three in this case.",364
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",この場合は直線上のどのモンスターに カーソルをもっていってももんだいない。[END],"In this case, no matter which monster along the line has the cursor, there's no problem.",367
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",もう1つのパターンの場合は……[END],In the case of the other pattern......,369
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",自分とモンスターをむすぶ直線上の 敵だけにダメージをあたえる。[END],You inflict damage only on the enemies on the line between you and the monster.,372
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",この場合は先ほどと同じく3ビキだが……[END],"This case, like before, is three monsters, but......",375
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",この場合は1ピキになるから 気をつけろ。[END],"In this case, it becomes one monster, so be careful.",379
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",次はターゲットしていしたモンスターを ジクにして、ヨコ方向のモンスター全てに ダメージをあたえる。[END],"Next, you make the monster designated as target an axis, and damage all the monsters crosswise from it.",383
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",この場合、ヨコならびなら……[END],"In this case, as long as they're in a horizontal line......",385
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",最後に自分を中心に ダメージをあたえるパターン。[END],"Finally, the pattern that inflicts damage with yourself at the center.",388
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",まずこのように、はんい内にモンスターが いない場合は使えない。[END],"First, in the case where there are no monsters in range, like this, you can't use it.",391
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",はんい内にモンスターがいれば 自分を中心としたはんい内の全ての モンスターにダメージを あたえることができる。[END],"If there are monsters in range, then you can inflict damage on all the monsters in the range centered on yourself.",396
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",どのモンスターにターゲットしていしても オーケーだ。[END],"Whichever monster you designate target, it's okay.",399
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",ってところかな。 べんきょうになったろ？[END],"That's pretty much how it goes. Learned something, didn't you?",402
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Mayor] わしの話を聞きたいかの？ はい いいえ[END],[Mayor] Want to listen to what I have to say? Yes No,407
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Mayor] ふむ、お前さんはそしつがありそうじゃの。 お前さんは戦いを続けていくうちに 『技』を身につける事が出来るじゃろう。,"[Mayor] Hmm, it seems that you have potential. As you continue fighting, you should be able to learn ""techniques"".",412
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",技とは、おのれの武器をつかった とくしゅな攻撃法じゃ。 これは、おのれのたんれんでのみ身につく。 日々これ精進じゃ。[END],Techniques are unique attack methods using your weapons. You will learn these only by your training. Focus on this daily.,417
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",ほっほっほっ。 熱心なわかものじゃの！ よし、わしからのプレゼントじゃ。 これで装備でもととのえるとよかろう。,"Ho, ho, ho. Zealous youngster! All right, a present from me. I hope you use this to ready yourself with some equipment or the like.",423
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",300Gを手に入れた！[END],Got 300G!,425
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Young Woman] 戦闘中に受けるダメージについて レクチャーしましょうか？ はい いいえ[END],[Young Woman] Shall I lecture about the damage you take during combat? Yes No,431
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Young Woman] モンスターの攻撃には特別なダメージを あたえてくるものがあるわ……[END],[Young Woman] Some monster attacks inflict special damage......,436
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",毒 HPが少しずつへっていくの。 このじょうたいでは 攻撃力も落ちるわ。[END],Poison: Your HP gradually decreases. Your attack power also drops in this condition.,441
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",スロウ スピードがおそくなって、次の攻撃に すばやくうつれなくなるわ。[END],"Slow: Your speed slows, and you can't move on to your next attacks as quickly.",445
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",スリープ 眠ってしまって防御力が下がるの。 けど、攻撃を受けるとめざめるわ。[END],"Sleep: You fall sleep, and your defense drops. But take an attack and you'll wake up.",449
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",こんらん 自分が何をしてるのか わからなくなってしまうの。 味方を攻撃したりね。　コワいわよ。[END],Confusion: You don't know what you're doing any more. You'll do things like attacking allies.   Scary!,454
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",ブラインド 回りがよく見えなくなって モンスターに攻撃をあてにくくなるわ。[END],Blind: You can't see your surroundings well and have a hard time hitting monsters with attacks.,458
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",ロック いっさいの技がつかえなくなるの。[END],Lock: You become unable to use any techniques.,461
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",ストップ これは動きが止まって 何もできなくなるわ。[END],Stop: This is when your movement stops and you become unable to do anything.,465
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",これらのじょうたいの時は 防御力が落ちてダメージが大きくなるわ。,You defense power drops and damage increases when you're in these conditions.,468
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",『ばんのうやく』などの体調回復アイテムで なおせるけど戦闘が終われば、アイテムを 使わなくても自然になおるのよ。[END],"You can cure them with status recovery items such as the ""panacea"", but if combat ends, you get well naturally even without using items.",472
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",続き聞きます？ はい いいえ[END],Will you listen to the continuation? Yes No,476
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",モンスターの攻撃を受けて、HPが0に なると戦闘不能になっちゃうわ。 もちろん『アテナの水』とかのアイテムで 復活も出来るわよ。,"If your HP goes to 0 from taking monsters' attacks, you become incapacitated. Of course, you can revive too, with items like ""Athena's water"".",481
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",けどね、みんなが戦闘不能になった時は 時のながれのわすれ物になっちゃうの…… 気をつけてね。[END],"But when everyone is incapacitated, you'll be lost in the flow of time...... Be careful.",485
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",[Young Man] LRを押し続けると戦闘から逃げる！！ こいつも大事だ。 戦術的てったいとでも言おうかな。,[Young Man] Keep pressing L and R and you'll run from combat!! This's important too. I guess we'll call it a strategic retreat.,490
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",けどよ、逃げてばっかじゃ弱いままで 強くなれないから気をつけな。,"But, look, keep running away, and you'll stay weak won't be able to get stronger, so be careful.",493
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それから、もう1つ。メニューの説明だ。 武器マークのヨコの数字は攻撃力。 たてマークのヨコの数字は防御力。,And one more thing. Menu explanation. The number next to the weapon mark is attack power. The number next to the shield mark is defense power.,497
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",防御力は、なぐりや物理攻撃を どれだけふせぐかあらわす。,Defense power indicates how well you defend against hits and physical attacks.,500
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",魔法をふせぐのは『まほうぼうぎょ』。 これがたとえば40だったら 敵の魔法を40パーセントふせぐ。,"It's “magic defense” that defends against magic. If, for example, that's 40, you'll defend 40 percent against enemy magic.",504
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Truce, 1000 A.D.",それと数字が星マークになったら そのパラメーターは最高ということだ。[END],"Also, if the number becomes a star mark, it means that parameter is maximum.",507
location,Setting Out! The Dreamy Millennial Festival,,,,509
text,Setting Out! The Dreamy Millennial Festival,"Ticket Office, Truce, 1000 A.D.",[Young Man] この海いきに、なぞの大うずが 現われる時があるんだ……。 一体あのうずはなんなのだろう？[END],[Young Man] There are times when a mystery whirlpool appears in the ocean around here...... What the heck is that swirl?,515
text,Setting Out! The Dreamy Millennial Festival,"Ticket Office, Truce, 1000 A.D.",[Ticket Clerk] 船にのりますか？ パレポリまで10Gです。 はい いいえ[END],[Ticket Clerk] Will you ride the boat? It's 10G to Parepoley. Yes No,521
text,Setting Out! The Dreamy Millennial Festival,"Ticket Office, Truce, 1000 A.D.",エレイン「彼が……、フリッツが 旅に出たまま、帰ってこないの……。 私は彼がいれば他になにも いらないのに……。[END],"Elaine: He...... Fritz is away on a journey, and hasn't come back...... Yet if he were here, I wouldn't need anything else......",526
text,Setting Out! The Dreamy Millennial Festival,"Ticket Office, Truce, 1000 A.D.",エレイン「もう私のことなんて……[END],Elaine: I guess I don't matter any more......,528
location,Setting Out! The Dreamy Millennial Festival,,,,530
text,Setting Out! The Dreamy Millennial Festival,Lucca's House,ララ「おや、クロノかい？ ルッカならお父さんのタバンと リーネ広場にいってるよ。,"Lara: Oh, Crono? If it's Lucca, she's gone to Leene Square with her father, Taban.",535
text,Setting Out! The Dreamy Millennial Festival,Lucca's House,せいきの大発明を見せるんだとか 言ってね。[END],She said they were showing the great invention of the century or something.,538
text,Setting Out! The Dreamy Millennial Festival,Lucca's House,タバン「おう！ ルッカの仲間達だな。[END],Taban: Oh! You're Lucca's companions.,541
location,Setting Out! The Dreamy Millennial Festival,,,,543
text,Setting Out! The Dreamy Millennial Festival,"Guardia Forest, 1000 A.D.",[Sign] 森をぬけて北……　ガルディア城[END],[Sign] North through the forest...... Guardia Castle,547
text,Setting Out! The Dreamy Millennial Festival,"Guardia Forest, 1000 A.D.",[Sign] この先、ガルディア城。 用のない者の出入りをきんずる。[END],[Sign] Guardia Castle is ahead. Passage prohibited to those without business.,552
text,Setting Out! The Dreamy Millennial Festival,"Guardia Forest, 1000 A.D.",[Sign] この先、空き地あり。[END],[Sign] An open area is ahead.,555
location,Setting Out! The Dreamy Millennial Festival,,,,557
text,Setting Out! The Dreamy Millennial Festival,"Guardia Castle, 1000 A.D.",兵士「何者だ！[END],Soldier: Who goes there!,560
text,Setting Out! The Dreamy Millennial Festival,"Guardia Castle, 1000 A.D.",兵士「民間人を通すワケにいかん。 子供は祭りにでも行くんだな。[END],"Soldier: There's no way we can let civilians through. Go to the festival or something, kid.",563
text,Setting Out! The Dreamy Millennial Festival,"Guardia Castle, 1000 A.D.",マール「な、何してんの？ 早くお祭り行こうよ！[END],"Marle: Wh, what're you doing? Let's hurry up and go to the festival!",566
location,Setting Out! The Dreamy Millennial Festival,,,,568
text,Setting Out! The Dreamy Millennial Festival,"Zenan Bridge, 1000 A.D.",[Young Man] ガルディア王国の千年祭に行くんだ！[END],[Young Man] I'm going to Guardia Kingdom's Millennial Festival!,572
text,Setting Out! The Dreamy Millennial Festival,"Zenan Bridge, 1000 A.D.",[Old Man] 一度、千年祭とやらに行ってみようと 思っての～。[END],[Old Man] I've been thinking I'd try going to that Millennial Festival or whatever it's called once.,576
text,Setting Out! The Dreamy Millennial Festival,"Zenan Bridge, 1000 A.D.",[Little Girl] わ～い！　お祭り、お祭り！[END],"[Little Girl] Yay! A festival, a festival!",579
text,Setting Out! The Dreamy Millennial Festival,"Zenan Bridge, 1000 A.D.",[Merchant] 千年祭の広場へ行って お店を出すつもりです。 あなたも、ぜひ私の店に来て下さい。[END],[Merchant] I intend to go to the Millennial Festival grounds and put up a store. Please be sure to come to my shop.,586
text,Setting Out! The Dreamy Millennial Festival,"Zenan Bridge, 1000 A.D.",[Man] うおーっ、祭りだーっ！ ひごろのウサをわすれてガンガン飮むぞー！[END],"[Man] Woohoo, it's a festival! I'm forgetting my usual gloom and tossing back some drinks!",590
location,Setting Out! The Dreamy Millennial Festival,,,,592
text,Setting Out! The Dreamy Millennial Festival,"Porre Inn, 1000 A.D.",[Innkeeper] 20Gになるが…… とまって行くかね？ はい いいえ[END],[Innkeeper] It's 20G...... Will you stay here? Yes No,599
text,Setting Out! The Dreamy Millennial Festival,"Porre Inn, 1000 A.D.",ほうほう、そうかい！[END],"Ho, ho, I see!",601
text,Setting Out! The Dreamy Millennial Festival,"Porre Inn, 1000 A.D.",またいつでも来なさい。[END],Come again any time.,603
location,Setting Out! The Dreamy Millennial Festival,,,,605
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Porre, 1000 A.D.",[Young Woman] この世で1番きらいな人？ もちろん父さんよ。[END],"[Young Woman] The person I hate most in this world? My father, of course.",610
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Porre, 1000 A.D.",[Little Boy] お父さん、お金大好きなの…… 僕よりも……。[END],[Little Boy] Dad loves money...... Even more than me......,614
text,Setting Out! The Dreamy Millennial Festival,"Mayor's Manor, Porre, 1000 A.D.",[Little Girl] みんなが、うちのパパはヨクバリだって 言うの……,"[Little Girl] Everyone theth daddy'th greedy...... It'th a lie, right?",618
